
D:\Program Files\adb>adb shell
# top -d 1
top -d 1



User 6%, System 16%, IOW 0%, IRQ 5%
User 8 + Nice 0 + Sys 19 + Idle 84 + IOW 0 + IRQ 0 + SIRQ 6 = 117

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
  304   0% S     1      0K      0K  fg root     swapper
  305   0% S     1      0K      0K  fg root     deep_sleep
  306   0% S     1      0K      0K  fg root     cpufreq_catch_i
  318   0% S     1      0K      0K  fg root     khungtaskd
  319   0% S     1      0K      0K  fg root     kswapd0
  368   0% S     1      0K      0K  fg root     aio/0
  376   0% S     1      0K      0K  fg root     crypto/0
  388   0% D     1      0K      0K  fg root     vaudio-fe
  392   0% S     1      0K      0K  fg root     vbd-fe
  467   0% S     1      0K      0K  fg root     mtdblock0
  472   0% S     1      0K      0K  fg root     mtdblock1
  477   0% S     1      0K      0K  fg root     mtdblock2
  482   0% S     1      0K      0K  fg root     mtdblock3
  487   0% S     1      0K      0K  fg root     mtdblock4
  492   0% S     1      0K      0K  fg root     mtdblock5
  497   0% S     1      0K      0K  fg root     mtdblock6
  502   0% S     1      0K      0K  fg root     mtdblock7
  507   0% S     1      0K      0K  fg root     mtdblock8
  512   0% S     1      0K      0K  fg root     mtdblock9
  517   0% S     1      0K      0K  fg root     mtdblock10
  522   0% S     1      0K      0K  fg root     mtdblock11
  527   0% S     1      0K      0K  fg root     mtdblock12
  532   0% S     1      0K      0K  fg root     mtdblock13
  537   0% S     1      0K      0K  fg root     mtdblock14
  542   0% S     1      0K      0K  fg root     mtdblock15
  547   0% S     1      0K      0K  fg root     mtdblock16
  552   0% S     1      0K      0K  fg root     mtdblock17
  557   0% S     1      0K      0K  fg root     mtdblock18
  564   0% S     1      0K      0K  fg root     spi_kthread
  578   0% S     1      0K      0K  fg root     usb detect wq
  590   0% S     1      0K      0K  fg root     file-storage
    1   0% S     1    408K    264K  fg root     /init
  665   0% S     1      0K      0K  fg root     binder
  700   0% S     1      0K      0K  fg root     l2cap
  701   0% S     1      0K      0K  fg root     krfcommd
 1009   0% S     1      0K      0K  fg root     yaffs-bg-1
 1010   0% S     1      0K      0K  fg root     yaffs-bg-1
 1011   0% S     1      0K      0K  fg root     yaffs-bg-1
 1012   0% S     1      0K      0K  fg root     yaffs-bg-1
 1013   0% S     1      0K      0K  fg root     yaffs-bg-1
 1014   0% S     1      0K      0K  fg root     yaffs-bg-1
 1015   0% S     1      0K      0K  fg root     yaffs-bg-1
 1025   0% S     1      0K      0K  fg root     irq/39-0-000c
 1034   0% S     1      0K      0K  fg root     al3006_pls
 1039   0% S     1      0K      0K  fg root     lis3dh_acc_wq1
 1040   0% S     1      0K      0K  fg root     lis3dh_acc_wq2
 1061   0% S     1      0K      0K  fg root     irq/54-headset
 1062   0% S     1      0K      0K  fg root     irq/53-headset
 1066   0% S     1      0K      0K  fg root     irq/41-pixcir_t
 1081   0% S     1      0K      0K  fg root     mali-pmm-wq
 1086   0% S     4   3460K    212K  fg root     /sbin/adbd
 1112   0% S     1    764K    296K  fg root     /system/bin/sh
 1113   0% S     1   4684K   1096K  fg root     /system/bin/nvitemd
 1118   0% S     1    816K    288K  fg root     /system/bin/vcharged
 1121   0% S     2   1888K    340K  fg root     /system/bin/engmodemclient
 1124   0% S     2   1864K    276K  fg root     /system/bin/engservice
 1138   0% S     2   2072K    432K  fg root     modemd
 1139   0% S     5  15924K   1964K  fg root     engpcclient
 1140   0% S     1    692K    284K  fg root     ./sprd_monitor
 1142   0% S     1    676K    240K  fg root     open_ttyNK
 1156   0% S     1    832K    284K  fg system   /system/bin/servicemanager
 1157   0% S     3   3768K    556K  fg root     /system/bin/vold
 1158   0% S     3   3756K    548K  fg root     /system/bin/netd
 1159   0% S     1    692K    252K  fg root     /system/bin/debuggerd
 1160   0% S     8  12708K   1296K  fg radio    /system/bin/rild_sp
 1161   0% S     1 110980K  27872K  fg root     zygote
 1162   0% S     9  36656K   5496K  fg media    /system/bin/mediaserver
 1164   0% S     1   1296K    716K  fg bluetoot /system/bin/dbus-daemon
 1165   0% S     1    832K    332K  fg root     /system/bin/installd
 1166   0% S     1   1644K    396K  fg keystore /system/bin/keystore
 1169   0% S     6  14876K   1408K  fg root     /system/bin/synergy_service
 1171   0% S     1   1084K    452K  fg root     /system/bin/akmd8975
 1172   0% S     1   2228K    432K  fg root     /system/xbin/busybox
 1175   0% S     1    692K    284K  fg log      /system/bin/logwrapper
 1176   0% S     1    692K    284K  fg log      /system/bin/logwrapper
 1181   0% S     1   2228K    348K  fg root     /system/xbin/busybox
 1183   0% S     1   2228K    352K  fg root     /system/xbin/busybox
 1237   0% S    28  28720K    672K  fg root     /opl/telephony/etc/xbin/phoneserver
 1264   0% S     1      0K      0K  fg root     flush-31:5
 1265   0% S     1      0K      0K  fg root     flush-31:6
 1266   0% S     1      0K      0K  fg root     flush-31:8
 1267   0% S     1      0K      0K  fg root     flush-31:11
 1268   0% S     1      0K      0K  fg root     flush-31:12
 1269   0% S     1      0K      0K  fg root     flush-31:13
 1270   0% S     1      0K      0K  fg root     flush-31:17
 1352   0% S     1    912K    340K  fg root     csrbluezcoexsniffer
 1355   0% S     1    760K    256K  fg root     hciattach
 1369   0% S    45 226084K  42784K  fg system   system_server
 1506   0% S     7 142252K  19740K  fg app_3    com.yeezonetech.firewall
 1508   0% S    21 169732K  31308K  fg radio    com.android.phone
 1510   0% S     7 163816K  28480K  bg app_1    com.android.launcher
 1515   0% S     7 160176K  25708K  fg system   com.android.settings
 1542   0% S     7 145628K  21716K  fg app_10   com.android.inputmethod.pinyin
 1573   0% S     9 179896K  34988K  bg app_10   android.process.acore
 1601   0% S     8 142780K  19364K  bg app_4    com.android.defcontainer
 1615   0% S     8 143660K  21000K  bg app_0    android.process.media
 1623   0% S     8 158444K  21928K  bg app_6    com.android.mms
 1644   0% S     7 142096K  19160K  bg system   com.spreadtrum.android.eng
 1651   0% S     8 147096K  21996K  bg app_18   com.android.email
 1661   0% S     7 143016K  19792K  bg app_22   com.sprdroid.note:remote
 1671   0% S     7 143752K  20556K  bg app_25   com.android.providers.calendar
 1682   0% S     8 145548K  21336K  bg app_26   com.android.browser
 1692   0% S     8 142788K  18984K  bg app_27   com.android.modemassert
 1701   0% S     7 142956K  20688K  bg system   com.android.deskclock
 1709   0% S     8 144020K  20652K  bg app_35   com.android.bluetooth
 1727   0% S     8 144820K  20432K  bg app_8    com.android.quicksearchbox
